cycle_idx,start_idx,end_idx,duration,avg_current_magnitude
1,12966,16645,3680,3.1990931141304353
2,29998,33673,3676,3.1990939200217627
3,47011,50685,3675,3.1990952272108846
4,64015,67690,3676,3.1990944640914036
5,81003,84665,3663,3.1990958995359
6,97996,101656,3661,3.199098202676864
7,114956,118612,3657,3.1990769073010665
8,131935,135591,3657,3.199078307355756
9,148907,152560,3654,3.19908632183908
10,165861,169516,3656,3.199094978118162
11,182819,186469,3651,3.1990970884689127
12,199790,203441,3652,3.1990805887185108
13,216734,220382,3649,3.1990826582625376
14,233684,237332,3649,3.1990888298163886
15,250656,254301,3646,3.19908158804169
16,267570,271212,3643,3.1990927998902006
17,284492,288134,3643,3.1990830990941537
18,301444,305089,3646,3.1990922545255076
19,318402,322041,3640,3.1990771950549455
20,335363,339002,3640,3.199086291208791
21,352308,355942,3635,3.1990829160935355
22,369256,372890,3635,3.19908110866575
23,386197,389827,3631,3.1990814624070505
24,403141,406771,3631,3.19907869732856
25,420069,423698,3630,3.1990846033057854
26,437027,440653,3627,3.1990747256685967
27,453988,457614,3627,3.1990551254480284
28,470934,474558,3625,3.1990804717241383
29,487876,491498,3623,3.1990769942036983
30,504843,508464,3622,3.1990700386526782
31,521788,525410,3623,3.199079533535744
32,538739,542358,3620,3.199079555248619
33,555683,559300,3618,3.1990733996683254
34,572629,576244,3616,3.199084800884956
35,589583,593199,3617,3.199073707492397
36,606543,610156,3614,3.1990814250138353
37,623494,627109,3616,3.199070240597345
38,640448,644060,3613,3.1990771104345415
39,657413,661025,3613,3.1990767699972325
40,674376,677987,3612,3.199082497231451
41,691326,694937,3612,3.199075027685493
42,708290,711896,3607,3.1990845633490435
43,725227,728831,3605,3.1990677115117894
44,742145,745750,3606,3.1990797143649474
45,759068,762677,3610,3.199074113573407
46,776044,779647,3604,3.1990714955604886
47,793005,796607,3603,3.1990727643630312
48,809975,813575,3601,3.199071305193002
49,826960,830562,3603,3.1990776880377463
50,843910,847508,3599,3.199075740483468
51,862958,866563,3606,3.1990676982806434
52,879954,883556,3603,3.1990979766860947
53,896945,900544,3600,3.199081830555556
54,913927,917525,3599,3.199074876354543
55,930927,934525,3599,3.1990731647679915
56,947897,951490,3594,3.199073580968281
57,964855,968447,3593,3.1990605482883385
58,981810,985401,3592,3.199066478285078
59,998773,1002364,3592,3.199080069599109
60,1015748,1019335,3588,3.1990654933110365
61,1032712,1036296,3585,3.1990468647140866
62,1049675,1053259,3585,3.1990691185495113
63,1066668,1070251,3584,3.1990708314732146
64,1083667,1087248,3582,3.1990805750977103
65,1100656,1104235,3580,3.1990734692737433
66,1117624,1121204,3581,3.199070781904496
67,1134607,1138182,3576,3.1990699552572703
68,1151574,1155147,3574,3.199066992165641
69,1168544,1172117,3574,3.1990488864017905
70,1185512,1189085,3574,3.1990679882484616
71,1202500,1206069,3570,3.19906212605042
72,1219487,1223054,3568,3.1990369310538114
73,1236481,1240047,3567,3.199055147182506
74,1253444,1257009,3566,3.1990659618620305
75,1270388,1273950,3563,3.1990856890261017
76,1287384,1290946,3563,3.1990652399663206
77,1304369,1307928,3560,3.199062140449439
78,1321350,1324907,3558,3.199077403035413
79,1338301,1341858,3558,3.199059125913435
80,1355280,1358838,3559,3.1990599409946614
81,1372280,1375835,3556,3.1990668869516314
82,1389251,1392803,3553,3.1990578018575855
83,1406233,1409787,3555,3.1990603769338963
84,1423233,1426783,3551,3.199046854407209
85,1440227,1443774,3548,3.1990792023675305
86,1457214,1460761,3548,3.1990710033821865
87,1474195,1477742,3548,3.1990588077790303
88,1491188,1494740,3553,3.1990662172811706
89,1508204,1511746,3543,3.199060982218459
90,1525220,1528762,3543,3.1990550183460345
91,1542224,1545765,3542,3.199052216261999
92,1559239,1562776,3538,3.1990629536461275
93,1576211,1579748,3538,3.199058205200678
94,1593198,1596732,3535,3.1990537199434232
95,1610206,1613738,3533,3.199057939428248
96,1627184,1630714,3531,3.199059444916454
97,1644195,1647726,3532,3.199054413929785
98,1661200,1664728,3529,3.1990538679512612
99,1678192,1681718,3527,3.1990467592855123
100,1695189,1698714,3526,3.1990628417470224
101,1713696,1717238,3543,3.1990556534010723
102,1730714,1734255,3542,3.1990532523997746
103,1747718,1751256,3539,3.199069036450975
104,1764677,1768213,3537,3.1990518716426353
105,1781650,1785186,3537,3.199048173593441
