cycle_idx,capacity_Ah,energy_Wh,duration_s,v_min,v_max,v_mean,i_rms,dVdt_abs_mean
1,3.270184072222223,11.69669705576514,3680.0,3.0,4.08156,3.5766434076086955,3.199527873319911,0.00036226148409893944
2,3.2666303472222222,11.682788237161,3676.0,3.0,4.08171,3.57627636289445,3.199529151839469,0.0003630122448979575
3,3.2657430444444446,11.679512338415833,3675.0,3.0,4.08232,3.57624471292517,3.1995305773149068,0.0003603892215568875
4,3.266630902777778,11.682687257978834,3676.0,2.99985,4.08324,3.5762451115342766,3.1995296951969587,0.0003642585034013598
5,3.255080077777778,11.6410075299845,3663.0,3.0,4.08309,3.5761313076713073,3.199532677186331,0.00036131622064445587
6,3.253305144444444,11.633056040399639,3661.0,3.0,4.08354,3.5756381180005463,3.1995352188700106,0.0003628497267759513
7,3.2497289583333333,11.61900716382736,3657.0,3.0,4.0837,3.5752494421657097,3.1995143985869463,0.00036001094091903693
8,3.2497303805555555,11.61811772053325,3657.0,3.0,4.08324,3.574974861908668,3.1995157985695966,0.0003640426695842457
9,3.2470726166666664,11.609765871395139,3654.0,3.0,4.0837,3.5753284482758625,3.199524173500193,0.000363356145633724
10,3.248858677777778,11.614476125795527,3656.0,3.0,4.08293,3.574812576586434,3.1995325926196716,0.00035906155950752406
11,3.2444176305555557,11.59848119870222,3651.0,3.0,4.08324,3.57477545056149,3.1995353015593855,0.0003602794520547982
12,3.2452895305555556,11.599128862146,3652.0,2.99985,4.0837,3.5740154901423877,3.1995186791197816,0.00036571898110106824
13,3.242625727777778,11.59163513510789,3649.0,3.0,4.08293,3.5746401836119484,3.1995211100081233,0.00036473410087718987
14,3.242631983333334,11.589236079304946,3649.0,3.0,4.0837,3.573893085776925,3.1995272828262147,0.00036151864035087846
15,3.239958741666667,11.580062450538891,3646.0,3.0,4.08385,3.5740121530444324,3.199520400030148,0.00036530041152263367
16,3.237304186111111,11.568922140421918,3643.0,3.0,4.08309,3.5735002607740873,3.1995319761566945,0.0003616776496430559
17,3.2372943694444447,11.56926084517089,3643.0,3.0,4.08324,3.5736162585780953,3.1995222731487574,0.0003611449752883057
18,3.239969544444445,11.577287747444528,3646.0,3.0,4.0837,3.5731429045529346,3.1995310678312348,0.0003640246913580231
19,3.234622497222223,11.558386134185945,3640.0,3.0,4.08339,3.5732057912087916,3.199516730487758,0.0003625144270403957
20,3.2346316944444444,11.556918979736361,3640.0,3.0,4.0837,3.572742936813187,3.199525827149991,0.0003631821929101402
21,3.2301851111111115,11.54125450432136,3635.0,3.0,4.08339,3.572811218707015,3.1995230567053783,0.00036335993395707276
22,3.230183286111111,11.538086029135249,3635.0,3.0,4.08354,3.571833213204952,3.19952124983341,0.000363935057787563
23,3.2266291083333334,11.526563442712778,3631.0,3.0,4.084,3.572195183145139,3.199522088602642,0.00036256473829200946
24,3.2266263194444447,11.524895348736777,3631.0,3.0,4.08309,3.5716824648857064,3.199519322258718,0.0003612369146005533
25,3.225743641666667,11.521773796682556,3630.0,3.0,4.08309,3.571691895316804,3.199525350769419,0.0003668558831634062
26,3.223067786111111,11.510953317081833,3627.0,3.0,4.08385,3.5713004438930245,3.199515836331182,0.0003629674572531707
27,3.223048038888889,11.510442305644029,3627.0,3.0,4.08354,3.571163402260822,3.1994962328616245,0.00036375896304467607
28,3.2212963083333337,11.503234428068112,3625.0,3.0,4.08293,3.570868267586207,3.1995218263684473,0.0003657036423841078
29,3.2195155416666665,11.496097532371916,3623.0,3.0,4.0837,3.5706266271046094,3.1995185920939444,0.00036507454445058196
30,3.2186199111111113,11.493841713958695,3622.0,2.99985,4.0837,3.570919149641082,3.199511757125157,0.0003650013808340261
31,3.219518097222222,11.494939415967112,3623.0,3.0,4.08324,3.570264176097157,3.1995211316183467,0.0003663611264494751
32,3.216852219444444,11.48452162615525,3620.0,3.0,4.08324,3.5699844337016575,3.1995215193341306,0.0003607460624481904
33,3.215068766666667,11.478086053267111,3618.0,2.99985,4.08248,3.5699631426202316,3.19951560721527,0.00036651921481890956
34,3.213302955555556,11.47079259617375,3616.0,3.0,4.08354,3.5696544856194694,3.199527254205133,0.00036591977869986254
35,3.2141804444444446,11.474960280442668,3617.0,3.0,4.08339,3.5699772739839646,3.199516037568694,0.00036462665929203373
36,3.2115222972222224,11.463569217483196,3614.0,3.0,4.08339,3.569385226895407,3.1995241235342506,0.00036547744256850464
37,3.2132883305555557,11.469999259675973,3616.0,2.99985,4.08324,3.569423962942478,3.199512692327219,0.00036578423236514705
38,3.210629333333333,11.459080547375084,3613.0,3.0,4.08324,3.5689795682258514,3.1995199304819257,0.0003644518272425245
39,3.210628991666667,11.458600754172888,3613.0,3.0,4.08324,3.5688303957929697,3.1995195905770837,0.00036434939091915727
40,3.2097461055555554,11.455093303689555,3612.0,3.0,4.08248,3.568719958471761,3.1995254411803478,0.00036161174189974863
41,3.2097386111111113,11.453779395138667,3612.0,3.0,4.08354,3.568319518272425,3.1995179697165295,0.0003626613126557742
42,3.205305005555555,11.437745914678278,3607.0,2.99985,4.08354,3.5682528527862494,3.1995281208361135,0.00036486966167498914
43,3.2035108611111114,11.431466580231055,3605.0,3.0,4.08248,3.568290846047157,3.199511513618044,0.0003609933407325195
44,3.204411513888889,11.432776497908668,3606.0,3.0,4.08309,3.5676971270105384,3.19952339471304,0.0003645991678224678
45,3.2079604305555556,11.445092383521528,3610.0,3.0,4.08324,3.567589650969529,3.199517302072476,0.00036181213632585277
46,3.2026260194444447,11.426036387316252,3604.0,3.0,4.08339,3.567581184794673,3.1995154205892797,0.0003658479045240078
47,3.201738658333334,11.423651132642444,3603.0,3.0,4.08263,3.5678251540383017,3.1995168125031452,0.0003673431426984998
48,3.199959936111111,11.415507400887973,3601.0,3.0,4.08309,3.5672638739239098,3.1995156002369827,0.00036671944444444376
49,3.201743586111111,11.420667316523637,3603.0,3.0,4.08263,3.566888195947821,3.199521737681422,0.0003629205996668482
50,3.1981871083333338,11.408327846521306,3599.0,2.99985,4.08217,3.566996168380106,3.199520282674157,0.0003646581434130101
51,3.204399477777778,11.429371104714418,3606.0,3.0,4.08171,3.5666472129783693,3.199511377002492,0.00036359778085991477
52,3.201763891666667,11.421075932644028,3603.0,3.0,4.08263,3.5669933000277547,3.1995420289602063,0.0003594114380899488
